clubid,name,division,based
393,Alzira,Spanish Third Division Group 6,Spain (Third Division Group 6)
394,Amager FF,Danish Lower Division,Denmark (Lower Division)
395,Amanat Baghdad,Iraqi Premier League,Iraq (Premier League)
396,Amarante,Portugal Championship - Group B,Portugal (PT Championship B)
397,Amazonas FC,Brazilian National Lower Division,Brazil (Lower Division)
398,Amazulu,South African Premier Soccer League,South Africa (South African Premiership)
399,Amed Sportif,Turkish 2. League White Group,Turkey (2. League White)
400,America (RJ),Brazilian National Lower Division,Brazil (Lower Division)
401,Amfiali,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
402,AMG,Brazilian National Second Division,Brazil (Second Division)
403,Amical Saint-Prex,Swiss Second League Interregio Gr 1,Switzerland (Second League Inter Gr 1)
404,Amiens SC,Domino's Ligue 2,France (Domino's Ligue 2)
405,Amishav,Israeli B League South A Division,Israel (B League South A)
406,Amora,Portugal Championship - Group D,Portugal (PT Championship D)
407,Amorebieta,Spanish Second Division B2,Spain (Second Division B2)
408,Ampfing,German Lower Division,Germany (German Lower Division)
409,Amriswil,Swiss Second League Interregio Gr 6,Switzerland (Second League Inter Gr 6)
410,Amrokkang,North Korean Premier Football League,North Korea (Premier League)
411,Amsdorf,German Lower Division,Germany (German Lower Division)
412,Amvrysseas,Greek Amateur Division - Voiotia,Greece (GAD - Voiotia)
413,Amykliakos,Greek Amateur Division - Lakonia,Greece (GAD - Lakonia)
414,Anadia,Portugal Championship - Group C,Portugal (PT Championship C)
415,Anag. Artas,Greek Regional Division Group 4,Greece (Regional Division 4)
416,Anag. Chalkidonas,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
417,Anag. Epanomis,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
418,Anag. Giannitson,Greek Regional Division Group 2,Greece (Regional Division 2)
419,Anag. Karditsas,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
420,Anag. Kolindrou,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
421,Anag. Limenarion,Greek Amateur Division - Kavala,Greece (GAD - Kavala)
422,Anag. Petritsiou,Greek Amateur Division - Serres,Greece (GAD - Serres)
423,Anag. Plagias,Greek Amateur Division - Kilkis,Greece (GAD - Kilkis)
424,Anag. Psathopyrgou,Greek Amateur Division - Achaia,Greece (GAD - Achaia)
425,Anag. Thalassias,Greek Amateur Division - Xanthi,Greece (GAD - Xanthi)
426,Anapolina,Brazilian National Fourth Division,Brazil (Fourth Division)
427,Anápolis,Brazilian National Lower Division,Brazil (Lower Division)
428,Anatoli,Greek Regional Division Group 4,Greece (Regional Division 4)
429,Anconitana,Italian Eccellenza Marche,Italy (Eccellenza Marche)
430,Anderlecht,Belgian Pro League A,Belgium (Pro League A)
431,Andes Talleres SC,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
432,Andijon,Uzbekistan Superleague,Uzbekistan (Superleague)
433,Andino Sport Club,Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
434,Andornaktálya,Hungarian Lower Division,Hungary (Lower Division)
435,Andráshida,Hungarian Lower Division,Hungary (Lower Division)
436,Andronikas,Greek Amateur Division - Lesvos,Greece (GAD - Lesvos)
437,Androusa,Greek Amateur Division - Messinia,Greece (GAD - Messinia)
438,Ang Mo Kio Utd,Singaporean Lower Division,Singapore (Lower Division)
439,Angers SCO,French National 2 - B,France (Ligue 1 Conforama)
440,Anglo de Fray Bentos,Uruguayan RÃ­o Negro League,Uruguay (RÃ­o Negro League)
441,Angrense,Portuguese Azores League,Portugal (Azores League)
442,Anguiano,Spanish Third Division Group 16,Spain (Third Division Group 16)
443,Ankara D.S.,Turkish 2. League Red Group,Turkey (2. League Red)
444,Annagh Utd,Bluefin Sport Premier Intermediate League,N.Ireland (Bluefin Sport PIL)
445,Annan,Ladbrokes League 2,Scotland (Ladbrokes League 2)
446,Annecy FC,French National 2 - D,France (National 2 - D)
447,Annerley FC,Brisbane Capital League 1,Australia (Capital League 1)
448,Ano Kalamas,Greek Amateur Division - Ipeiros,Greece (GAD - Ipeiros)
449,Ano Mera,Greek Regional Division Group 5,Greece (Regional Division 5)
450,Anoixi,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
451,Anorthosi,Cypriot First Division,Cyprus (First Division)
452,Anouba Imagi Mangal,Indian Lower Division,India (Indian Lower Division)
453,Ansan,Hana 1Q K LEAGUE 2,South Korea (K LEAGUE 2)
454,Ansar (LIB),Lebanese Premier League,Lebanon (Premier League)
455,Antalyaspor,Turkish Super League,Turkey (Super League)
456,Antequera,Spanish Third Division Group 9,Spain (Third Division Group 9)
457,Anthemous Galatistas,Greek Amateur Division - Chalkidiki,Greece (GAD - Chalkidiki)
458,Anthestion,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
459,Antigua,Liga Nacional de Guatemala,Guatemala (Liga Nacional)
460,Antimachos,Greek Amateur Division - Dodekanisa,Greece (GAD - Dodekanisa)
461,Antwerp,Belgian Pro League A,Belgium (Pro League A)
462,Anyang,Hana 1Q K LEAGUE 2,South Korea (K LEAGUE 2)
463,AO Karditsa,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
464,AO Levante Zakynthou,Greek Amateur Division - Zakynthos,Greece (GAD - Zakynthos)
465,AO Sartis,Greek Amateur Division - Chalkidiki,Greece (GAD - Chalkidiki)
466,AOAN,Greek Regional Division Group 8,Greece (Regional Division 8)
467,Apace,Slovenian Lower League,Slovenia (Lower League)
468,Aparecida,Brazilian National Lower Division,Brazil (Lower Division)
469,Aparecidense,Brazilian National Fourth Division,Brazil (Fourth Division)
470,APE Lagada,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
471,APEJES,Cameroonian First Division,Cameroon (First Division)
472,APIA Leichhardt,National Premier Leagues - NSW,Australia (NPL NSW)
473,APOEL,Cypriot First Division,Cyprus (First Division)
474,Apol. Agiou Ioanni,Greek Amateur Division - Chania,Greece (GAD - Chania)
475,Apol. Aigiou,Greek Amateur Division - Achaia,Greece (GAD - Achaia)
476,Apol. Akraifniou,Greek Amateur Division - Voiotia,Greece (GAD - Voiotia)
477,Apol. Aspropyrgou,Greek Amateur Division - Western Attica,Greece (GAD - Western Attica)
478,Apol. Chalandriou,Greek Amateur Division - Athens,Greece (GAD - Athens)
479,Apol. Dafion,Greek Amateur Division - Lesvos,Greece (GAD - Lesvos)
480,Apol. Efpaliou,Greek Regional Division Group 4,Greece (Regional Division 4)
481,Apol. Evropou,Greek Amateur Division - Kilkis,Greece (GAD - Kilkis)
482,Apol. Kalamatas,Greek Amateur Division - Messinia,Greece (GAD - Messinia)
483,Apol. Larisas,Greek Super League 2,Greece (Super League 2)
484,Apol. Limassol,Cypriot First Division,Cyprus (First Division)
485,Apol. Makrychoriou,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
486,Apol. Paralimniou,Greek Regional Division Group 1,Greece (Regional Division 1)
487,Apol. Pargas,Greek Amateur Division - Preveza,Greece (GAD - Preveza)
488,Apol. Petalidiou,Greek Amateur Division - Messinia,Greece (GAD - Messinia)
489,Apol. Pontou,Greek Super League 2,Greece (Super League 2)
490,Apol. Xirokabiou,Greek Amateur Division - Lakonia,Greece (GAD - Lakonia)
491,Apollo,Finnish Lower Division,Finland (Lower Division)
492,Apollon,Greek Super League 2,Greece (Super League 2)
493,Apolon,Serbian Zone League,Serbia (Zone League)
494,Apolonia,Albanian First Category - Group B,Albania (First Category - Group B)
495,Aprilia Racing,Italian Serie D Grp. G,Italy (Serie D Grp. G)
496,Apucarana Sports,Brazilian National Lower Division,Brazil (Lower Division)
497,Aqaba,Jordanian Professional League,Jordan (Pro-League)
498,Aquidauanense,Brazilian National Lower Division,Brazil (Lower Division)
499,ARA,Brazilian National Fourth Division,Brazil (Fourth Division)
500,Arab Contractors,Egyptian Premier League,Egypt (Premier League)
501,Araguari,Brazilian National Lower Division,Brazil (Lower Division)
502,Arameisk-Syrianska IF,Swedish Second Division South Svealand,Sweden (Second Division SS)
503,Arandina,Spanish Third Division Group 8,Spain (Third Division Group 8)
504,Ararat,Armenian High League,Armenia (High League)
505,Ararat-Armenia,Armenian High League,Armenia (High League)
506,Araucária,Brazilian National Lower Division,Brazil (Lower Division)
507,Arbedo,Swiss Lower Division,Switzerland (Lower Division)
508,Arbon,Swiss Lower Division,Switzerland (Lower Division)
509,Arbroath,Ladbrokes Championship,Scotland (Ladbrokes Championship)
510,ARC Oleiros,Portugal Championship - Group C,Portugal (PT Championship C)
511,Arda,Bulgarian First League,Bulgaria (First League)
512,Ardor Lazzate,Italian Eccellenza Lombardia Grp.A,Italy (Eccellenza Lombardia A)
513,Ards,Bluefin Sport Championship,N.Ireland (Bluefin Sport CH)
514,Ards Rangers,Northern Irish Amateur Premier Division,N.Ireland (Amateur Premier Division)
515,Arema,Indonesian League One,Indonesia (League One)
516,Arema Idn,Indonesian League Three,Indonesia (League Three)
517,Arenas de Armilla,Spanish DivisiÃ³n Honor AndalucÃ­a Gr. 2,Spain (Div. Honor AndalucÃ­a G1)
518,Arendal,Norwegian Fourth Division Group 11,Norway (Fourth Division Agder)
519,Arenteiro,Spanish Third Division Group 1,Spain (Third Division Group 1)
520,Arezzo,Italian Serie C/A,Italy (Serie C/A)
521,Arg del Norte (Clorinda),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
522,Argentino (Franck),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
523,Argentino (Marcos Juárez),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
524,Argentino (Merlo),Argentine Metropolitan C Zone,Argentina (Fourth Division AFA)
525,Argentino (Mza),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
526,Argentino (Pergamino),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
527,Argentino (Quilmes),Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
528,Argentino (Rosario),Argentine Metropolitan D Zone,Argentina (Fifth Division AFA)
529,Argentino (San Carlos),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
530,Argentino Oeste,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
531,Argentino Quilmes,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
532,Argentinos (25 de Mayo),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
533,Argentinos del Norte,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
534,Argentinos Jrs.,Argentine Premier Division,Argentina (Premier Division)
535,Argon. Katakolou,Greek Amateur Division - Ileia,Greece (GAD - Ileia)
536,Argon. Neas Kiou,Greek Amateur Division - Argolida,Greece (GAD - Argolida)
537,Arion Mithymnas,Greek Amateur Division - Lesvos,Greece (GAD - Lesvos)
538,Aris,Greek Super League 1,Greece (Super League)
539,Aris Agias Monis,Greek Amateur Division - Trikala,Greece (GAD - Trikala)
540,Aris Archangelou,Greek Amateur Division - Dodekanisa,Greece (GAD - Dodekanisa)
541,Aris Avatou,Greek Regional Division Group 1,Greece (Regional Division 1)
542,Aris Kassandreias,Greek Amateur Division - Chalkidiki,Greece (GAD - Chalkidiki)
543,Aris Kokkinopliton,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
544,Aris Limassol,Cypriot Second Division,Cyprus (Second Division)
545,Aris Patron,Greek Amateur Division - Achaia,Greece (GAD - Achaia)
546,Aris Petroupolis,Greek Amateur Division - Athens,Greece (GAD - Athens)
547,Aris Pigon,Greek Amateur Division - Kavala,Greece (GAD - Kavala)
548,Aris Protis,Greek Amateur Division - Serres,Greece (GAD - Serres)
549,Aris Rethymnou,Greek Amateur Division - Rethymno,Greece (GAD - Rethymno)
550,Aris Skalas,Greek Amateur Division - Lakonia,Greece (GAD - Lakonia)
551,Aris Skotoussas,Greek Amateur Division - Serres,Greece (GAD - Serres)
552,Aris Soudas,Greek Amateur Division - Chania,Greece (GAD - Chania)
553,Aris Voulas,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
554,Aristeionas,Greek Amateur Division - Argolida,Greece (GAD - Argolida)
555,Aritma,Czech Fourth Division B,Czech Republic (Fourth Division B)
556,Arka,PKO Bank Polski Ekstraklasa,Poland (Fourth Division)
557,Arm. Ludwigshafen,German Div. Rhineland-Palatinate/Saar,Germany (RP/Saar)
558,Armacenenses,Portugal Championship - Group D,Portugal (PT Championship D)
559,Armadale SC,National Premier Leagues - Western Australia,Australia (NPL WA)
560,Armagh,Bluefin Sport Premier Intermediate League,N.Ireland (Bluefin Sport PIL)
561,Arman Gohar,Iranian First Division,Iran (First Division)
562,Armavir,Russian First Division,Russia (First Division)
563,Arminia Bielefeld,Bundesliga,Germany (Bundesliga)
564,ARN,Brazilian National Fourth Division,Brazil (Fourth Division)
565,Arnstadt,German Lower Division,Germany (German Lower Division)
566,Arosa,Spanish Third Division Group 1,Spain (Third Division Group 1)
567,Arouca,Portugal Championship - Group B,Portugal (PT Championship B)
568,Arras FA,French National 3 - Hauts de France,France (Nat 3 - Hauts France)
569,Arroyo,Spanish Third Division Group 14,Spain (Third Division Group 14)
570,Arsenal,English Premier Division,England (Premier Division)
571,Arsenal-2 Tula,Russian Lower Division,Russia (Lower Division)
572,Arsenal (K),Serbian Lower League,Serbia (Lower League)
573,Arsenal (Viale),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
574,Arsenal Dzerzhinsk,Belarusian Second League,Belarus (Second League)
575,Arsenal Tula,Russian Premier League,Russia (Premier League)
576,Artemis,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
577,Artesano de Colonia Suiza,Uruguayan Colonia League,Uruguay (Colonia League)
578,Arthurlie,Scottish Juniors West Region Championship,Scotland (West Championship)
579,Artigas de Carmelo,Uruguayan Soriano League,Uruguay (Soriano League)
580,Artigas de La Teja,Uruguayan First Amateur Division,Uruguay (Third Division)
581,Artigas de Melo,Uruguayan Cerro Largo League,Uruguay (Cerro Largo League)
582,Artigas de Rocha,Uruguayan Rocha League,Uruguay (Rocha League)
583,Artvin Hopaspor,Turkish 3. League Group 1,Turkey (3. League Group 1)
584,Arvand Khorramshahr,Iranian Second Division Group A,Iran (Second Division A)
585,Aryan,Indian Lower Division,India (Indian Lower Division)
586,Arzachena,Italian Serie D Grp. G,Italy (Serie D Grp. G)
587,Arzignano Valchiampo,Italian Serie C/B,Italy (Serie C/B)
588,AS Algrange,French Regional Divisions,France (Regional Divisions)
589,AS Bayard Saumur,French Regional Divisions,France (Regional Divisions)
590,AS Beauvais Oise,French National 3 - Hauts de France,France (Nat 3 - Hauts France)
591,AS Cannes,French National 3 - Corse - MÃ©diterranÃ©e,France (Nat 3 - Corse - Med)
592,AS Castello,Swiss Lower Division,Switzerland (Lower Division)
593,AS Central Sport,Tahitian First Division,Tahiti (First Division)
594,AS Cherbourg Football,French National 3 - Normandie,France (Nat 3 - Normandie)
595,AS Dragon,Tahitian First Division,Tahiti (First Division)
596,AS Erstein,French Regional Divisions,France (Regional Divisions)
597,AS Excelsior,D1 Regionale,RÃ©union (D1R)
598,AS Furiani-Agliani,French National 3 - Corse - MÃ©diterranÃ©e,France (Nat 3 - Corse - Med)
599,AS Illzach-Modenheim,French Regional Divisions,France (Regional Divisions)
600,AS Kaloum,Guinean Premier Division,Guinea (Premier Division)
601,AS Magenta,New Caledonian Super League,New Caledonia (Super League)
602,AS Marsa,Tunisian League 2 - Group B,Tunisia (League 2B)
603,AS Maximoise,French Regional Divisions,France (Regional Divisions)
604,AS Monaco,French National 2 - D,France (Ligue 1 Conforama)
605,AS Moon,Finnish Third Division,Finland (Finnish Third Division)
606,AS Panazol,French Regional Divisions,France (Regional Divisions)
607,AS Pierrots Vauban,French National 3 - Grand Est,France (Nat 3 - Grand Est)
608,AS Poissy,French National 2 - B,France (National 2 - B)
609,AS Police (MLI),Malian Premier Division - Pool A,Mali (Premier Division - Pool A)
610,AS Saint-Etienne,French National 2 - C,France (Ligue 1 Conforama)
611,AS Saint-Priest,French National 2 - D,France (National 2 - D)
612,AS Tefana,Tahitian First Division,Tahiti (First Division)
613,Asan Mugunghwa,Hana 1Q K LEAGUE 2,South Korea (K LEAGUE 2)
614,Asante Kotoko,Ghanaian Premier Division,Ghana (Premier Division)
615,ASC Diaraf,Senegalese First Division,Senegal (First Division)
616,ASC San Diego,NPSL West Region,U.S.A. (West Region)
617,Aschaffenburg,German Regional Division Bavaria,Germany (Regional Div. Bavaria)
618,Ascoli,Italian Serie B,Italy (Serie B)
619,ASEC Mimosas,Ivorian Premier Division,Ivory Coast (Premier Division)
620,Asenovets,Bulgarian A Regional Groups,Bulgaria (A OFG)
621,Ashanti Gold,Ghanaian Premier Division,Ghana (Premier Division)
622,Ashburton Utd,Victorian State League 3 South-East,Australia (VIC SL 3SE)
623,Ashfield SC,Western Australia State League Division 1,Australia (WA State League Div 1)
624,ASI d'Abengourou,Ivorian Premier Division,Ivory Coast (Premier Division)
625,Asi Gilboa,Israeli A League North Division,Israel (A League North)
626,ASIL,Cypriot Second Division,Cyprus (Second Division)
627,ASK-BSC Bruck/L.,Austrian Regional Division East,Austria (Regional Division East)
628,ASK Ebreichsdorf,Austrian Gebietsliga South/Southeast (NÃ),Austria (Gebietsliga S/SE)
629,ASK Eggendorf,Austrian 2. Landesliga East (NÃ),Austria (2.Landesliga Ost)
630,ASK Mannersdorf,Austrian Div. Lower Austria,Austria (1. NÃN Landesliga)
631,Asker,Norwegian Second Division Group 2,Norway (Second Division Group 2)
632,ASM Belfort,French National 2 - A,France (National 2 - A)
633,ASM Oran,Algerian League 2,Algeria (League 2)
